GefilterdeAdressen: {orderID=288 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=174, order='iphone 12', Coordinaten_DMS='52° 21.7531011557557, 4° 56.361924058914354', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124495.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36255168592926 ||| Y= 4.939365400981906'}
GefilterdeAdressen: {orderID=276 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=166, order='iphone 12', Coordinaten_DMS='52° 21.753547060579592, 4° 56.3372553939767', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124467.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255911767633 ||| Y= 4.938954256566278'}
GefilterdeAdressen: {orderID=277 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=166, order='iphone 12', Coordinaten_DMS='52° 21.753547060579592, 4° 56.3372553939767', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124467.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255911767633 ||| Y= 4.938954256566278'}
GefilterdeAdressen: {orderID=278 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=166, order='iphone 12', Coordinaten_DMS='52° 21.753547060579592, 4° 56.3372553939767', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124467.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255911767633 ||| Y= 4.938954256566278'}
GefilterdeAdressen: {orderID=279 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=166, order='iphone 12', Coordinaten_DMS='52° 21.753547060579592, 4° 56.3372553939767', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124467.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255911767633 ||| Y= 4.938954256566278'}
GefilterdeAdressen: {orderID=272 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=164, order='iphone 12', Coordinaten_DMS='52° 21.7535270487231, 4° 56.33197041801226', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124461.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.362558784145385 ||| Y= 4.938866173633538'}
GefilterdeAdressen: {orderID=273 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=164, order='iphone 12', Coordinaten_DMS='52° 21.7535270487231, 4° 56.33197041801226', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124461.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.362558784145385 ||| Y= 4.938866173633538'}
GefilterdeAdressen: {orderID=274 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=164, order='iphone 12', Coordinaten_DMS='52° 21.7535270487231, 4° 56.33197041801226', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124461.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.362558784145385 ||| Y= 4.938866173633538'}
GefilterdeAdressen: {orderID=275 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=164, order='iphone 12', Coordinaten_DMS='52° 21.7535270487231, 4° 56.33197041801226', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124461.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.362558784145385 ||| Y= 4.938866173633538'}
GefilterdeAdressen: {orderID=268 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=162, order='iphone 12', Coordinaten_DMS='52° 21.752971127725544, 4° 56.32757172096699', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124456.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362549518795426 ||| Y= 4.938792862016117'}
GefilterdeAdressen: {orderID=269 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=162, order='iphone 12', Coordinaten_DMS='52° 21.752971127725544, 4° 56.32757172096699', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124456.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362549518795426 ||| Y= 4.938792862016117'}
GefilterdeAdressen: {orderID=270 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=162, order='iphone 12', Coordinaten_DMS='52° 21.752971127725544, 4° 56.32757172096699', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124456.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362549518795426 ||| Y= 4.938792862016117'}
GefilterdeAdressen: {orderID=271 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=162, order='iphone 12', Coordinaten_DMS='52° 21.752971127725544, 4° 56.32757172096699', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124456.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362549518795426 ||| Y= 4.938792862016117'}
GefilterdeAdressen: {orderID=266 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=160, order='iphone 12', Coordinaten_DMS='52° 21.75294777177072, 4° 56.32140591712883', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124449.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254912952951 ||| Y= 4.938690098618814'}
GefilterdeAdressen: {orderID=267 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=160, order='iphone 12', Coordinaten_DMS='52° 21.75294777177072, 4° 56.32140591712883', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124449.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254912952951 ||| Y= 4.938690098618814'}
GefilterdeAdressen: {orderID=453 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=20, order='iphone 12', Coordinaten_DMS='52° 21.78033275928101, 4° 56.43299982625525', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124576.0 ||| Y= 486218.0', Coordinaten_DECIMAL='X= 52.36300554598802 ||| Y= 4.940549997104254'}
GefilterdeAdressen: {orderID=262 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=158, order='iphone 12', Coordinaten_DMS='52° 21.75293108566777, 4° 56.31700177160637', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124444.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362548851427796 ||| Y= 4.9386166961934395'}
GefilterdeAdressen: {orderID=263 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=158, order='iphone 12', Coordinaten_DMS='52° 21.75293108566777, 4° 56.31700177160637', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124444.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362548851427796 ||| Y= 4.9386166961934395'}
GefilterdeAdressen: {orderID=264 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=158, order='iphone 12', Coordinaten_DMS='52° 21.75293108566777, 4° 56.31700177160637', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124444.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362548851427796 ||| Y= 4.9386166961934395'}
GefilterdeAdressen: {orderID=265 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=158, order='iphone 12', Coordinaten_DMS='52° 21.75293108566777, 4° 56.31700177160637', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124444.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362548851427796 ||| Y= 4.9386166961934395'}
GefilterdeAdressen: {orderID=258 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=156, order='iphone 12', Coordinaten_DMS='52° 21.753986203391946, 4° 56.31082506215371', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124437.0 ||| Y= 486170.0', Coordinaten_DECIMAL='X= 52.3625664367232 ||| Y= 4.938513751035895'}
GefilterdeAdressen: {orderID=259 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=156, order='iphone 12', Coordinaten_DMS='52° 21.753986203391946, 4° 56.31082506215371', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124437.0 ||| Y= 486170.0', Coordinaten_DECIMAL='X= 52.3625664367232 ||| Y= 4.938513751035895'}
GefilterdeAdressen: {orderID=260 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=156, order='iphone 12', Coordinaten_DMS='52° 21.753986203391946, 4° 56.31082506215371', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124437.0 ||| Y= 486170.0', Coordinaten_DECIMAL='X= 52.3625664367232 ||| Y= 4.938513751035895'}
GefilterdeAdressen: {orderID=261 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=156, order='iphone 12', Coordinaten_DMS='52° 21.753986203391946, 4° 56.31082506215371', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124437.0 ||| Y= 486170.0', Coordinaten_DECIMAL='X= 52.3625664367232 ||| Y= 4.938513751035895'}
GefilterdeAdressen: {orderID=254 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=154, order='iphone 12', Coordinaten_DMS='52° 21.752887689016802, 4° 56.30555099354537', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124431.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254812815028 ||| Y= 4.938425849892423'}
GefilterdeAdressen: {orderID=255 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=154, order='iphone 12', Coordinaten_DMS='52° 21.752887689016802, 4° 56.30555099354537', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124431.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254812815028 ||| Y= 4.938425849892423'}
GefilterdeAdressen: {orderID=256 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=154, order='iphone 12', Coordinaten_DMS='52° 21.752887689016802, 4° 56.30555099354537', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124431.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254812815028 ||| Y= 4.938425849892423'}
GefilterdeAdressen: {orderID=257 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KW', huisnummer=154, order='iphone 12', Coordinaten_DMS='52° 21.752887689016802, 4° 56.30555099354537', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124431.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254812815028 ||| Y= 4.938425849892423'}
GefilterdeAdressen: {orderID=250 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=148, order='iphone 12', Coordinaten_DMS='52° 21.75282757086336, 4° 56.28969607078561', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124413.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362547126181056 ||| Y= 4.93816160117976'}
GefilterdeAdressen: {orderID=251 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=148, order='iphone 12', Coordinaten_DMS='52° 21.75282757086336, 4° 56.28969607078561', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124413.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362547126181056 ||| Y= 4.93816160117976'}
GefilterdeAdressen: {orderID=252 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=148, order='iphone 12', Coordinaten_DMS='52° 21.75282757086336, 4° 56.28969607078561', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124413.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362547126181056 ||| Y= 4.93816160117976'}
GefilterdeAdressen: {orderID=253 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=148, order='iphone 12', Coordinaten_DMS='52° 21.75282757086336, 4° 56.28969607078561', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124413.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.362547126181056 ||| Y= 4.93816160117976'}
GefilterdeAdressen: {orderID=452 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=14, order='iphone 12', Coordinaten_DMS='52° 21.78569193754825, 4° 56.42413714253196', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124566.0 ||| Y= 486228.0', Coordinaten_DECIMAL='X= 52.363094865625804 ||| Y= 4.940402285708866'}
GefilterdeAdressen: {orderID=246 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=146, order='iphone 12', Coordinaten_DMS='52° 21.75280418202135, 4° 56.283530267712706', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124406.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254673636702 ||| Y= 4.938058837795212'}
GefilterdeAdressen: {orderID=247 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=146, order='iphone 12', Coordinaten_DMS='52° 21.75280418202135, 4° 56.283530267712706', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124406.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254673636702 ||| Y= 4.938058837795212'}
GefilterdeAdressen: {orderID=248 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=146, order='iphone 12', Coordinaten_DMS='52° 21.75280418202135, 4° 56.283530267712706', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124406.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254673636702 ||| Y= 4.938058837795212'}
GefilterdeAdressen: {orderID=249 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KV', huisnummer=146, order='iphone 12', Coordinaten_DMS='52° 21.75280418202135, 4° 56.283530267712706', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124406.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254673636702 ||| Y= 4.938058837795212'}
GefilterdeAdressen: {orderID=448 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=10, order='iphone 12', Coordinaten_DMS='52° 21.788917413273055, 4° 56.42146203868979', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124563.0 ||| Y= 486234.0', Coordinaten_DECIMAL='X= 52.36314862355455 ||| Y= 4.94035770064483'}
GefilterdeAdressen: {orderID=449 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=10, order='iphone 12', Coordinaten_DMS='52° 21.788917413273055, 4° 56.42146203868979', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124563.0 ||| Y= 486234.0', Coordinaten_DECIMAL='X= 52.36314862355455 ||| Y= 4.94035770064483'}
GefilterdeAdressen: {orderID=450 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=10, order='iphone 12', Coordinaten_DMS='52° 21.788917413273055, 4° 56.42146203868979', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124563.0 ||| Y= 486234.0', Coordinaten_DECIMAL='X= 52.36314862355455 ||| Y= 4.94035770064483'}
GefilterdeAdressen: {orderID=451 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=10, order='iphone 12', Coordinaten_DMS='52° 21.788917413273055, 4° 56.42146203868979', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124563.0 ||| Y= 486234.0', Coordinaten_DECIMAL='X= 52.36314862355455 ||| Y= 4.94035770064483'}
GefilterdeAdressen: {orderID=444 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=8, order='iphone 12', Coordinaten_DMS='52° 21.791061080078293, 4° 56.417916948751014', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124559.0 ||| Y= 486238.0', Coordinaten_DECIMAL='X= 52.36318435133464 ||| Y= 4.940298615812517'}
GefilterdeAdressen: {orderID=445 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=8, order='iphone 12', Coordinaten_DMS='52° 21.791061080078293, 4° 56.417916948751014', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124559.0 ||| Y= 486238.0', Coordinaten_DECIMAL='X= 52.36318435133464 ||| Y= 4.940298615812517'}
GefilterdeAdressen: {orderID=446 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=8, order='iphone 12', Coordinaten_DMS='52° 21.791061080078293, 4° 56.417916948751014', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124559.0 ||| Y= 486238.0', Coordinaten_DECIMAL='X= 52.36318435133464 ||| Y= 4.940298615812517'}
GefilterdeAdressen: {orderID=447 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=8, order='iphone 12', Coordinaten_DMS='52° 21.791061080078293, 4° 56.417916948751014', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124559.0 ||| Y= 486238.0', Coordinaten_DECIMAL='X= 52.36318435133464 ||| Y= 4.940298615812517'}
GefilterdeAdressen: {orderID=242 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=133, order='iphone 12', Coordinaten_DMS='52° 21.76420174142237, 4° 56.302793960931', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124428.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273669569037 ||| Y= 4.93837989934885'}
GefilterdeAdressen: {orderID=243 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=133, order='iphone 12', Coordinaten_DMS='52° 21.76420174142237, 4° 56.302793960931', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124428.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273669569037 ||| Y= 4.93837989934885'}
GefilterdeAdressen: {orderID=244 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=133, order='iphone 12', Coordinaten_DMS='52° 21.76420174142237, 4° 56.302793960931', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124428.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273669569037 ||| Y= 4.93837989934885'}
GefilterdeAdressen: {orderID=245 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=133, order='iphone 12', Coordinaten_DMS='52° 21.76420174142237, 4° 56.302793960931', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124428.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273669569037 ||| Y= 4.93837989934885'}
GefilterdeAdressen: {orderID=440 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BK', huisnummer=7, order='iphone 12', Coordinaten_DMS='52° 21.797055891424293, 4° 56.43459323764533', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124578.0 ||| Y= 486249.0', Coordinaten_DECIMAL='X= 52.36328426485707 ||| Y= 4.940576553960756'}
GefilterdeAdressen: {orderID=441 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BK', huisnummer=7, order='iphone 12', Coordinaten_DMS='52° 21.797055891424293, 4° 56.43459323764533', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124578.0 ||| Y= 486249.0', Coordinaten_DECIMAL='X= 52.36328426485707 ||| Y= 4.940576553960756'}
GefilterdeAdressen: {orderID=442 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BK', huisnummer=7, order='iphone 12', Coordinaten_DMS='52° 21.797055891424293, 4° 56.43459323764533', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124578.0 ||| Y= 486249.0', Coordinaten_DECIMAL='X= 52.36328426485707 ||| Y= 4.940576553960756'}
GefilterdeAdressen: {orderID=443 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BK', huisnummer=7, order='iphone 12', Coordinaten_DMS='52° 21.797055891424293, 4° 56.43459323764533', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124578.0 ||| Y= 486249.0', Coordinaten_DECIMAL='X= 52.36328426485707 ||| Y= 4.940576553960756'}
GefilterdeAdressen: {orderID=234 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=131, order='iphone 12', Coordinaten_DMS='52° 21.764181703894252, 4° 56.29750896414546', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124422.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273636173157 ||| Y= 4.938291816069091'}
GefilterdeAdressen: {orderID=235 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=131, order='iphone 12', Coordinaten_DMS='52° 21.764181703894252, 4° 56.29750896414546', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124422.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273636173157 ||| Y= 4.938291816069091'}
GefilterdeAdressen: {orderID=236 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=131, order='iphone 12', Coordinaten_DMS='52° 21.764181703894252, 4° 56.29750896414546', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124422.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273636173157 ||| Y= 4.938291816069091'}
GefilterdeAdressen: {orderID=237 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KJ', huisnummer=131, order='iphone 12', Coordinaten_DMS='52° 21.764181703894252, 4° 56.29750896414546', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124422.0 ||| Y= 486189.0', Coordinaten_DECIMAL='X= 52.36273636173157 ||| Y= 4.938291816069091'}
GefilterdeAdressen: {orderID=238 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KT', huisnummer=132, order='iphone 12', Coordinaten_DMS='52° 21.752677120604602, 4° 56.250058767493115', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124368.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254461867674 ||| Y= 4.9375009794582185'}
GefilterdeAdressen: {orderID=239 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KT', huisnummer=132, order='iphone 12', Coordinaten_DMS='52° 21.752677120604602, 4° 56.250058767493115', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124368.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254461867674 ||| Y= 4.9375009794582185'}
GefilterdeAdressen: {orderID=240 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KT', huisnummer=132, order='iphone 12', Coordinaten_DMS='52° 21.752677120604602, 4° 56.250058767493115', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124368.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254461867674 ||| Y= 4.9375009794582185'}
GefilterdeAdressen: {orderID=241 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KT', huisnummer=132, order='iphone 12', Coordinaten_DMS='52° 21.752677120604602, 4° 56.250058767493115', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124368.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36254461867674 ||| Y= 4.9375009794582185'}
